Medics_Drugs	Fixed_Drugs	Toxicity	ToxicityName
dexketoprofen	dexketoprofen	1	DILI
diclofenac	diclofenac	1	DILI
diltiazem	diltiazem	1	DILI
disulfiram	disulfiram	1	DILI
drospirenone	drospirenone	1	DILI
enalapril	enalapril	1	DILI
erythromycin	erythromycin	1	DILI
escitalopram	escitalopram	1	DILI
estradiol	estradiol	1	DILI
etarnecept	etanercept	1	DILI
etoricoxib	etoricoxib	1	DILI
famotidine	famotidine	1	DILI
fenofibrate	fenofibrate	1	DILI
fluconazole	fluconazole	1	DILI
fluorouracil	fluorouracil	1	DILI
fluoxetine	fluoxetine	1	DILI
flutamide	flutamide	1	DILI
fluvastatin	fluvastatin	1	DILI
fluvoxamine	fluvoxamine	1	DILI
gemfibrozil	gemfibrozil	1	DILI
gestodene and estrogens	gestodene	1	DILI
gliclazide	gliclazide	1	DILI
halothane	halothane	1	DILI
ibuprofen	ibuprofen	1	DILI
ifosfamide	ifosfamide	1	DILI
imatinib	imatinib	1	DILI
imipramine	imipramine	1	DILI
indinavir	indinavir	1	DILI
Indomethacin	Indomethacin	1	DILI
Infliximab	Infliximab	1	DILI
interferon alfa 2a	interferon alfa-2a	1	DILI
interferon alfa 2b	interferon alfa-2b	1	DILI
interferon Beta 1a	interferon Beta-1a	1	DILI
interferon pegilado	peginterferon alfa-2a	1	DILI
	peginterferon alfa-2b	1	DILI
	peginterferon beta-1a	1	DILI
	peginterferon lambda-1a	1	DILI
irbesartan	irbesartan	1	DILI
isoniazid	isoniazid	1	DILI
itraconazole	itraconazole	1	DILI
josamycin	josamycin	1	DILI
ketoprofen	ketoprofen	1	DILI
ketorolac	ketorolac	1	DILI
Labetalol	Labetalol	1	DILI
lamotrigine	lamotrigine	1	DILI
lansoprazole	lansoprazole	1	DILI
leflunomide	leflunomide	1	DILI
levetiracetam	levetiracetam	1	DILI
levofloxacin	levofloxacin	1	DILI
Levonorgestrel	Levonorgestrel	1	DILI
lornoxicam	lornoxicam	1	DILI
losartan	losartan	1	DILI
lovastatin	lovastatin	1	DILI
masitinib	masitinib	1	DILI
mefloquine	mefloquine	1	DILI
megestrol	megestrol acetate	1	DILI
meloxicam	meloxicam	1	DILI
mercaptopurine	mercaptopurine	1	DILI
mesalazine	mesalamine	1	DILI
metformin	metformin	1	DILI
methotrexate	methotrexate	1	DILI
methylprednisolone	methylprednisolone	1	DILI
mianserin	mianserin	1	DILI
midecamycin	midecamycin	1	DILI
minocycline	minocycline	1	DILI
mirtazapine	mirtazapine	1	DILI
montelukast	montelukast	1	DILI
moxifloxacin	moxifloxacin	1	DILI
naproxen	naproxen	1	DILI
niflumic acid	niflumic acid	1	DILI
nitrofurantoin	nitrofurantoin	1	DILI
norfloxacin	norfloxacin	1	DILI
olanzapine	olanzapine	1	DILI
omeprazole	omeprazole	1	DILI
orlistat	orlistat	1	DILI
oxcarbazepine	oxcarbazepine	1	DILI
paracetamol	acetaminophen	1	DILI
paroxetine	paroxetine	1	DILI
perphenazine	perphenazine	1	DILI
phenytoin	phenytoin	1	DILI
pioglitazone	pioglitazone	1	DILI
piroxicam	piroxicam	1	DILI
pravastatin	pravastatin	1	DILI
progesterone	progesterone	1	DILI
propafenone	propafenone	1	DILI
pyrazinamide	pyrazinamide	1	DILI
pyrimethamine	pyrimethamine	1	DILI
quetiapine	quetiapine	1	DILI
ramipril	ramipril	1	DILI
ranitidine	ranitidine	1	DILI
repaglinide	repaglinide	1	DILI
retinol	retinol	1	DILI
rifabutin	rifabutin	1	DILI
rifampicin	rifampicin	1	DILI
risperidone	risperidone	1	DILI
ritodrine	ritodrine	1	DILI
rizatriptan	rizatriptan	1	DILI
rofecoxib	rofecoxib	1	DILI
rosuvastatin	rosuvastatin	1	DILI
roxithromycin	roxithromycin	1	DILI
sertraline	sertraline	1	DILI
sevoflurane	sevoflurane	1	DILI
simvastatin	simvastatin	1	DILI
spiramycin	spiramycin	1	DILI
sulfamethoxazol with trimethoprin	co-trimoxazole	1	DILI
sulfasalazine	sulfasalazine	1	DILI
tacrine	tacrine	1	DILI
tamoxifen	tamoxifen	1	DILI
tamsulosine	tamsulosin	1	DILI
telmisartan	telmisartan	1	DILI
terbinafine	terbinafine	1	DILI
thiamazole	methimazole	1	DILI
METAMIZOL	DIPYRONE	1	DILI
CARBIMAZOL		1	DILI
tibolone	tibolone	1	DILI
ticlopidine	ticlopidine	1	DILI
tiratricol	tiratricol	1	DILI
trabectedin	trabectedin	1	DILI
trandolapril	trandolapril	1	DILI
trimethoprim	trimethoprim	1	DILI
valaciclovir	valacyclovir	1	DILI
valproic acid	valproic acid	1	DILI
valsartan	valsartan	1	DILI
venlafaxine	venlafaxine	1	DILI
verapamil	verapamil	1	DILI
voriconazole	voriconazole	1	DILI
zafirlukast	zafirlukast	1	DILI
zolmitriptan	zolmitriptan	1	DILI
acamprosate	acamprosate	0	NoDILI
acetylcysteine	acetylcysteine	0	NoDILI
adefovir dipivoxil	adefovir dipivoxil	0	NoDILI
adenosine	adenosine	0	NoDILI
alendronic acid	alendronic acid	0	NoDILI
alprostadil	alprostadil	0	NoDILI
alvimopan	alvimopan	0	NoDILI
amantadine	amantadine	0	NoDILI
ambroxol	ambroxol	0	NoDILI
amifostine	amifostine	0	NoDILI
amikacin	amikacin	0	NoDILI
amiloride	amiloride	0	NoDILI
aminocaproic acid	aminocaproic acid	0	NoDILI
aminophylline	aminophylline	0	NoDILI
ammonium chloride	ammonium chloride	0	NoDILI
anileridine	anileridine	0	NoDILI
astemizole	astemizole	0	NoDILI
atracurium besylate	atracurium besylate	0	NoDILI
atropine	atropine	0	NoDILI
azlocillin	azlocillin	0	NoDILI
bacitracin	bacitracin	0	NoDILI
bambuterol	bambuterol	0	NoDILI
betaine	betaine	0	NoDILI
betamethasone	betamethasone	0	NoDILI
bethanechol	bethanechol	0	NoDILI
bezafibrate	bezafibrate	0	NoDILI
biotin	biotin	0	NoDILI
biperiden	biperiden	0	NoDILI
bisacodyl	bisacodyl	0	NoDILI
bleomycin	bleomycin	0	NoDILI
bromazepam	bromazepam	0	NoDILI
brompheniramine	brompheniramine	0	NoDILI
budesonide	budesonide	0	NoDILI
buformin	buformin	0	NoDILI
bupivacaine	bupivacaine	0	NoDILI
buspirone	buspirone	0	NoDILI
butoconazole	butoconazole	0	NoDILI
caffeine	caffeine	0	NoDILI
calcium carbonate	calcium carbonate	0	NoDILI
capsaicin	capsaicin	0	NoDILI
carbamide	urea	0	NoDILI
carbasalate calcium	carbaspirin calcium	0	NoDILI
carbetapentane	carbetapentane	0	NoDILI
carbinoxamine	carbinoxamine	0	NoDILI
carbocysteine	carbocysteine	0	NoDILI
carisoprodol	carisoprodol	0	NoDILI
cefapirin	cephapirin	0	NoDILI
chloral hydrate	chloral hydrate	0	NoDILI
chloramphenicol	chloramphenicol	0	NoDILI
chlorhexidine	chlorhexidine	0	NoDILI
cholecalciferol	cholecalciferol	0	NoDILI
ciclopirox	ciclopirox	0	NoDILI
cinnarizine	cinnarizine	0	NoDILI
cisapride	cisapride	0	NoDILI
citicoline	citicoline	0	NoDILI
clemastine	clemastine	0	NoDILI
clobetasone	clobetasone butyrate	0	NoDILI
codeine	codeine	0	NoDILI
corticotropin	corticotropin	0	NoDILI
cyanocobalamin	cyanocobalamin	0	NoDILI
cyclizine	cyclizine	0	NoDILI
daunorubicin	daunorubicin	0	NoDILI
deflazacort	deflazacort	0	NoDILI
dexbrompheniramine	dexbrompheniramine	0	NoDILI
dexpanthenol	dexpanthenol	0	NoDILI
dextroamphetamine	dextroamphetamine	0	NoDILI
dextromethorphan	dextromethorphan	0	NoDILI
dicyclomine	dicyclomine	0	NoDILI
digoxin	digoxin	0	NoDILI
dihydroergocristine	dihydroergocristine	0	NoDILI
dihydroergotamine	dihydroergotamine	0	NoDILI
dimethicone	dimethicone	0	NoDILI
dimethyl sulfoxide	dimethyl sulfoxide	0	NoDILI
dinoprostone	dinoprostone	0	NoDILI
diosmin	diosmin	0	NoDILI
diphenhydramine	diphenhydramine	0	NoDILI
diphenoxylate	diphenoxylate	0	NoDILI
ditazole	ditazole	0	NoDILI
dobutamine	dobutamine	0	NoDILI
docusate sodium	docusate sodium	0	NoDILI
dofetilide	dofetilide	0	NoDILI
dopamine	dopamine	0	NoDILI
dosulepin	dothiepin	0	NoDILI
doxacurium chloride	doxacurium chloride	0	NoDILI
doxazosin	doxazosin	0	NoDILI
doxylamine	doxylamine	0	NoDILI
droperidol	droperidol	0	NoDILI
dutasteride	dutasteride	0	NoDILI
ebastine	ebastine	0	NoDILI
ecallantide	ecallantide	0	NoDILI
econazole	econazole	0	NoDILI
ephedrine	ephedrine	0	NoDILI
epinephrine	epinephrine	0	NoDILI
ergocalciferol	ergocalciferol	0	NoDILI
ergonovine	ergonovine	0	NoDILI
ergotamine	ergotamine	0	NoDILI
esmolol	esmolol	0	NoDILI
etidronic acid	etidronic acid	0	NoDILI
fentanyl	fentanyl	0	NoDILI
ferrous sulfate	ferrous sulfate	0	NoDILI
fexofenadine	fexofenadine	0	NoDILI
flavoxate	flavoxate	0	NoDILI
flumazenil	flumazenil	0	NoDILI
fluticasone	fluticasone	0	NoDILI
folic acid	folic acid	0	NoDILI
formoterol	formoterol	0	NoDILI
foscarnet	foscarnet	0	NoDILI
furosemide	furosemide	0	NoDILI
gadoteridol	gadoteridol	0	NoDILI
gadoversetamide	gadoversetamide	0	NoDILI
gatifloxacin	gatifloxacin	0	NoDILI
Nitroglycerin	Nitroglycerin	0	NoDILI
guaifenesin	guaifenesin	0	NoDILI
guanethidine	guanethidine	0	NoDILI
halazepam	halazepam	0	NoDILI
heptaminol	heptaminol	0	NoDILI
hexylresorcinol	hexylresorcinol	0	NoDILI
homatropine	homatropine	0	NoDILI
hydrocodone	hydrocodone	0	NoDILI
hydrocortisone	hydrocortisone	0	NoDILI
hydroxyzine	hydroxyzine	0	NoDILI
Ibandronate	ibandronic acid	0	NoDILI
ibutilide	ibutilide	0	NoDILI
inositol	inositol	0	NoDILI
iodixanol	iodixanol	0	NoDILI
iopamidol	iopamidol	0	NoDILI
ipratropium bromide	ipratropium bromide	0	NoDILI
isoprenaline	isoprenaline	0	NoDILI
isosorbide mononitrate	isosorbide mononitrate	0	NoDILI
isoxsuprine	isoxsuprine	0	NoDILI
kanamycin	kanamycin	0	NoDILI
ketazolam	ketazolam	0	NoDILI
ketotifen	ketotifen	0	NoDILI
levocarnitine	levocarnitine	0	NoDILI
levodopa	levodopa	0	NoDILI
levodropropizine	levodropropizine	0	NoDILI
lidocaine	lidocaine	0	NoDILI
lithium carbonate	lithium carbonate	0	NoDILI
loperamide	loperamide	0	NoDILI
mannitol	mannitol	0	NoDILI
mazindol	mazindol	0	NoDILI
meclizine	meclizine	0	NoDILI
medazepam	medazepam	0	NoDILI
medrogestone	medrogestone	0	NoDILI
methamphetamine	methamphetamine	0	NoDILI
methoxamine	methoxamine	0	NoDILI
methysergide	methysergide	0	NoDILI
metyrapone	metyrapone	0	NoDILI
metyrosine	metyrosine	0	NoDILI
midazolam	midazolam	0	NoDILI
midodrine	midodrine	0	NoDILI
morphine	morphine	0	NoDILI
nadolol	nadolol	0	NoDILI
naltrexone	naltrexone	0	NoDILI
nisoldipine	nisoldipine	0	NoDILI
nitroprusside	nitroprusside	0	NoDILI
norepinephrine	norepinephrine	0	NoDILI
nystatin	nystatin	0	NoDILI
orphenadrine	orphenadrine	0	NoDILI
oxybutynin	oxybutynin	0	NoDILI
oxycodone	oxycodone	0	NoDILI
oxyphenonium	oxyphenonium	0	NoDILI
oxytocin	oxytocin	0	NoDILI
paliperidone	paliperidone	0	NoDILI
pancuronium	pancuronium	0	NoDILI
pargyline	pargyline	0	NoDILI
paromomycin	paromomycin	0	NoDILI
penbutolol	penbutolol	0	NoDILI
Phenoxymethylpenicillin	penicillin V	0	NoDILI
pentazocine	pentazocine	0	NoDILI
permethrin	permethrin	0	NoDILI
phenazopyridine	phenazopyridine	0	NoDILI
phenoxybenzamine	phenoxybenzamine	0	NoDILI
phentermine	phentermine	0	NoDILI
phenylpropanolamine	phenylpropanolamine	0	NoDILI
physostigmine	physostigmine	0	NoDILI
phylloquinone	phytonadione	0	NoDILI
pimozide	pimozide	0	NoDILI
pindolol	pindolol	0	NoDILI
potassium iodide	potassium iodide	0	NoDILI
pramlintide	pramlintide	0	NoDILI
primaquine	primaquine	0	NoDILI
primidone	primidone	0	NoDILI
probucol	probucol	0	NoDILI
procyclidine	procyclidine	0	NoDILI
promazine	promazine	0	NoDILI
pseudoephedrine	pseudoephedrine	0	NoDILI
pyrantel	pyrantel	0	NoDILI
pyridostigmine	pyridostigmine	0	NoDILI
pyridoxal phosphate	pyridoxal phosphate	0	NoDILI
pyridoxine (vit b6)	pyridoxine	0	NoDILI
ribavirin	ribavirin	0	NoDILI
riboflavin	riboflavin	0	NoDILI
salbutamol	albuterol	0	NoDILI
salicylamide	salicylamide	0	NoDILI
scopolamine	scopolamine	0	NoDILI
selegiline	selegiline	0	NoDILI
sorbitol	sorbitol	0	NoDILI
streptomycin	streptomycin	0	NoDILI
sucralfate	sucralfate	0	NoDILI
terazosin	terazosin	0	NoDILI
terfenadine	terfenadine	0	NoDILI
teriparatide	teriparatide	0	NoDILI
tetracaine	tetracaine	0	NoDILI
theophylline	theophylline	0	NoDILI
thiamine	thiamine	0	NoDILI
tiotropium bromide	tiotropium bromide	0	NoDILI
tolterodine	tolterodine	0	NoDILI
topotecan	topotecan	0	NoDILI
torasemide	torsemide	0	NoDILI
tranexamic acid	tranexamic acid	0	NoDILI
tribenoside	tribenoside	0	NoDILI
triflusal	triflusal	0	NoDILI
trihexyphenidyl	trihexyphenidyl	0	NoDILI
triprolidine	triprolidine	0	NoDILI
tromethamine	tromethamine	0	NoDILI
troxerutin	troxerutin	0	NoDILI
ursodeoxycholic acid	ursodiol	0	NoDILI
valganciclovir	valganciclovir	0	NoDILI
vidarabine	vidarabine	0	NoDILI
vinblastine	vinblastine	0	NoDILI
vitamin e	vitamin e	0	NoDILI
ziconotide	ziconotide	0	NoDILI
zomepirac	zomepirac	0	NoDILI
